epoch,loss,accuracy,val_loss,val_accuracy,lr
1,2.85817813873291,0.11503531783819199,2.8328723907470703,0.08241758495569229,0.0002
2,2.6107635498046875,0.22300706803798676,2.830822706222534,0.08241758495569229,0.0004
3,2.392244338989258,0.28002017736434937,2.8279314041137695,0.08241758495569229,0.0006
4,2.2519161701202393,0.3395560085773468,2.8269686698913574,0.06868132203817368,0.0008
5,2.169219493865967,0.38395559787750244,2.7983694076538086,0.07417582720518112,0.001
6,2.0719728469848633,0.4086781144142151,2.6097943782806396,0.1675824224948883,0.001
7,1.9932750463485718,0.4394550919532776,2.2750630378723145,0.25824177265167236,0.000999959
8,1.9455914497375488,0.4692229926586151,1.9490658044815063,0.3956044018268585,0.0009998358
9,1.892279028892517,0.50201815366745,1.7517035007476807,0.4890109896659851,0.0009996304
10,1.8346105813980103,0.5110998749732971,1.6921473741531372,0.4752747118473053,0.0009993431
11,1.7944139242172241,0.5459132194519043,1.6568483114242554,0.4972527325153351,0.0009989737
12,1.7959413528442383,0.542885959148407,1.7335073947906494,0.5054945349693298,0.0009985224
13,1.7543234825134277,0.5635721683502197,1.5820482969284058,0.598901093006134,0.0009979892
14,1.7475100755691528,0.5731584429740906,1.6173088550567627,0.5219780206680298,0.0009973742
15,1.710446834564209,0.5998991131782532,1.5566133260726929,0.5082417726516724,0.0009966774
16,1.6803689002990723,0.6104944348335266,1.654407024383545,0.5219780206680298,0.0009958991
17,1.6775647401809692,0.6261352300643921,1.524517297744751,0.6098901033401489,0.0009950394
18,1.6655393838882446,0.6170535087585449,1.4534223079681396,0.5741758346557617,0.0009940983
19,1.6446478366851807,0.6342078447341919,1.4139117002487183,0.6318681240081787,0.000993076
20,1.6164432764053345,0.6508577466011047,1.4511528015136719,0.598901093006134,0.0009919729
21,1.6180007457733154,0.654389500617981,1.3563326597213745,0.6538461446762085,0.0009907888
22,1.5932443141937256,0.6685166358947754,1.3349026441574097,0.6456043720245361,0.0009895242
23,1.5801514387130737,0.671039342880249,1.3823518753051758,0.6593406796455383,0.0009881791
24,1.5629570484161377,0.6927345991134644,1.3587838411331177,0.651098906993866,0.0009867538
25,1.5708355903625488,0.6715438961982727,1.435749888420105,0.5741758346557617,0.0009852487
26,1.5404977798461914,0.6982845664024353,1.3623920679092407,0.6483516693115234,0.0009836638
27,1.5445175170898438,0.6992936134338379,1.3621039390563965,0.6758241653442383,0.0009819994
28,1.5320444107055664,0.7008072733879089,1.2723348140716553,0.6593406796455383,0.0009802559
29,1.5166698694229126,0.696770966053009,1.2227869033813477,0.7362637519836426,0.0009784335
30,1.502390742301941,0.7164480090141296,1.2086188793182373,0.7280219793319702,0.0009765326
31,1.4885883331298828,0.7280524969100952,1.3679871559143066,0.692307710647583,0.00097455335
32,1.532820463180542,0.7008072733879089,1.2087664604187012,0.7417582273483276,0.0009724962
33,1.4881422519683838,0.7265388369560242,1.2497040033340454,0.7335164546966553,0.00097036135
34,1.4836516380310059,0.7280524969100952,1.1885236501693726,0.7527472376823425,0.00096814934
35,1.4787845611572266,0.7184662222862244,1.3265841007232666,0.708791196346283,0.0009658604
36,1.4855375289916992,0.7376387715339661,1.2403919696807861,0.7170329689979553,0.00096349494
37,1.4784705638885498,0.7275479435920715,1.3090564012527466,0.708791196346283,0.00096105336
38,1.4657026529312134,0.7376387715339661,1.1795587539672852,0.7417582273483276,0.00095853605
39,1.4605863094329834,0.7320888042449951,1.244107961654663,0.7252747416496277,0.0009559434
40,1.439868688583374,0.761856734752655,1.233341932296753,0.7060439586639404,0.0009532759
41,1.434382677078247,0.7497477531433105,1.1504544019699097,0.7637362480163574,0.00095053395
42,1.4375534057617188,0.7487386465072632,1.156164288520813,0.7445054650306702,0.000947718
43,1.4348583221435547,0.7628657817840576,1.1595886945724487,0.7994505763053894,0.0009448285
44,1.4285706281661987,0.7653884887695312,1.2778905630111694,0.7032967209815979,0.00094186596
45,1.4394482374191284,0.7527749538421631,1.1377615928649902,0.7637362480163574,0.0009388309
46,1.43246591091156,0.7467204928398132,1.197178840637207,0.7637362480163574,0.0009357237
47,1.417904257774353,0.7679111957550049,1.2106819152832031,0.7115384340286255,0.00093254494
48,1.435545563697815,0.7573158144950867,1.146765947341919,0.7554945349693298,0.00092929514
49,1.397674322128296,0.7800201773643494,1.2227827310562134,0.7335164546966553,0.00092597486
50,1.400166392326355,0.7815337777137756,1.0890253782272339,0.7994505763053894,0.0009225847
51,1.4003838300704956,0.782542884349823,1.1192538738250732,0.7664835453033447,0.000919125
52,1.3914711475372314,0.7946518659591675,1.1337002515792847,0.7829670310020447,0.00091559655
53,1.406731128692627,0.7855701446533203,1.2208380699157715,0.7362637519836426,0.0009119998
54,1.4029710292816162,0.779011070728302,1.1920771598815918,0.7527472376823425,0.00090833544
55,1.3831878900527954,0.7830474376678467,1.2428418397903442,0.7170329689979553,0.000904604
56,1.369861125946045,0.7936427593231201,1.2171516418457031,0.7280219793319702,0.0009008061
57,1.3764699697494507,0.8017154335975647,1.0921580791473389,0.7994505763053894,0.0008969424
58,1.3627070188522339,0.8062562942504883,1.0948058366775513,0.7967032790184021,0.0008930135
59,1.3686851263046265,0.7936427593231201,1.1042015552520752,0.807692289352417,0.0008890201
60,1.3605986833572388,0.7971745729446411,1.2032716274261475,0.7582417726516724,0.0008849628
61,1.3661677837371826,0.7971745729446411,1.0865974426269531,0.807692289352417,0.0008808423
62,1.360435128211975,0.804742693901062,1.0632158517837524,0.8049450516700745,0.0008766592
63,1.3414099216461182,0.8092835545539856,1.1090962886810303,0.8241758346557617,0.00087241427
64,1.3637433052062988,0.8138244152069092,1.1616523265838623,0.7857142686843872,0.00086810824
65,1.3501489162445068,0.8163471221923828,1.0344765186309814,0.8214285969734192,0.00086374173
66,1.350994348526001,0.8087790012359619,1.0808647871017456,0.8159340620040894,0.0008593155
67,1.3494056463241577,0.7981836795806885,1.028242826461792,0.8241758346557617,0.00085483026
68,1.3385047912597656,0.8213925361633301,1.1524478197097778,0.7939560413360596,0.0008502868
69,1.3415899276733398,0.8118062615394592,1.0602730512619019,0.8269230723381042,0.0008456858
70,1.3473650217056274,0.8213925361633301,1.0985190868377686,0.7829670310020447,0.00084102806
71,1.3366105556488037,0.8168516755104065,1.112213134765625,0.8186812996864319,0.0008363143
72,1.333893060684204,0.8193743824958801,1.0540281534194946,0.843406617641449,0.00083154533
73,1.3342589139938354,0.8218970894813538,1.1200218200683594,0.791208803653717,0.00082672195
74,1.3280688524246216,0.8304742574691772,1.0474052429199219,0.8241758346557617,0.0008218449
75,1.3414692878723145,0.8072654008865356,1.0275942087173462,0.8214285969734192,0.00081691507
76,1.329581379890442,0.8284561038017273,1.0688068866729736,0.8159340620040894,0.00081193313
