true_cid/pred_cid,0,2,3,4,5,6,7,24,43,69,70,72,83,84,85,86,87
0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,0,4,0,24,0,2,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
7,0,1,2,0,2,0,20,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1
69,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0
87,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,28
