epoch,loss,accuracy,val_loss,val_accuracy,lr
1,0.8741034269332886,0.9283552169799805,0.8928216099739075,0.8928571343421936,1e-04
2,0.8780242800712585,0.9323915243148804,0.8846936225891113,0.8901098966598511,1e-04
3,0.8743572235107422,0.9298688173294067,0.8962134122848511,0.8928571343421936,1e-04
4,0.8695005178451538,0.9318869709968567,0.8932645916938782,0.8983516693115234,1e-04
5,0.8631137609481812,0.9394550919532776,0.8764062523841858,0.901098906993866,1e-04
6,0.8609521389007568,0.931382417678833,0.8971891403198242,0.9038461446762085,1e-04
7,0.8668424487113953,0.934914231300354,0.8813279271125793,0.9038461446762085,1e-04
8,0.861836314201355,0.9253279566764832,0.8950375318527222,0.906593382358551,1e-04
9,0.8579282164573669,0.9409686923027039,0.8874515295028687,0.9038461446762085,1e-04
10,0.8561511039733887,0.9354187846183777,0.8770301938056946,0.9093406796455383,5e-05
11,0.8433650732040405,0.9429869055747986,0.8886910676956177,0.906593382358551,5e-05
12,0.8615021705627441,0.936932384967804,0.8834773302078247,0.9120879173278809,5e-05
13,0.8632164001464844,0.9384459853172302,0.8836430907249451,0.9120879173278809,5e-05
14,0.851487934589386,0.9409686923027039,0.8756778240203857,0.9093406796455383,2.5e-05
15,0.8576070070266724,0.9334006309509277,0.8788264989852905,0.9120879173278809,2.5e-05
16,0.8424596190452576,0.9374369382858276,0.8795413374900818,0.906593382358551,2.5e-05
17,0.8583989143371582,0.9344096779823303,0.8722851872444153,0.906593382358551,2.5e-05
18,0.8516578674316406,0.9323915243148804,0.8788025379180908,0.9038461446762085,2.5e-05
19,0.8494712114334106,0.9429869055747986,0.8742591142654419,0.9093406796455383,2.5e-05
20,0.84205162525177,0.9439959526062012,0.8740231990814209,0.9093406796455383,2.5e-05
21,0.8583232760429382,0.931382417678833,0.8789888024330139,0.901098906993866,2.5e-05
22,0.8432426452636719,0.9364278316497803,0.8741132020950317,0.906593382358551,1.25e-05
