cid,correct,total,acc_percent
0,49,49,100.0
2,10,10,100.0
3,28,30,93.33
4,10,10,100.0
5,30,30,100.0
6,11,11,100.0
7,25,25,100.0
24,13,13,100.0
43,14,14,100.0
69,30,30,100.0
70,11,11,100.0
72,25,25,100.0
83,12,16,75.0
84,7,19,36.84
85,27,27,100.0
86,14,14,100.0
87,24,30,80.0
