epoch,float_val_accuracy_percent,val_loss,int8_accuracy_percent,correct,total,model_size_bytes
1,94.2307710647583,0.7784274816513062,93.68131868131869,341,364,30168
2,93.40659379959106,0.779698371887207,93.4065934065934,340,364,30168
3,94.2307710647583,0.7765544652938843,94.23076923076923,343,364,30168
4,92.30769276618958,0.7808812856674194,92.3076923076923,336,364,30168
5,93.95604133605957,0.7736753821372986,93.68131868131869,341,364,30168
6,93.68131756782532,0.7775254845619202,93.4065934065934,340,364,30168
7,93.68131756782532,0.7810043692588806,93.95604395604396,342,364,30168
8,93.68131756782532,0.7768971920013428,93.95604395604396,342,364,30168
9,93.13187003135681,0.7817994952201843,93.4065934065934,340,364,30168
10,93.13187003135681,0.7752066850662231,93.13186813186813,339,364,30168
11,93.40659379959106,0.7775642275810242,93.4065934065934,340,364,30168
12,93.68131756782532,0.774844229221344,94.23076923076923,343,364,30168
13,93.40659379959106,0.7837164998054504,93.4065934065934,340,364,30168
14,93.95604133605957,0.7807826995849609,93.95604395604396,342,364,30168
15,93.68131756782532,0.7823131680488586,93.4065934065934,340,364,30168
16,94.50549483299255,0.7736449837684631,94.5054945054945,344,364,30168
17,93.40659379959106,0.7750968337059021,93.4065934065934,340,364,30168
18,93.40659379959106,0.778249979019165,93.4065934065934,340,364,30168
19,93.40659379959106,0.777305543422699,93.4065934065934,340,364,30168
20,94.2307710647583,0.7754292488098145,94.23076923076923,343,364,30168
21,93.13187003135681,0.7771542072296143,93.13186813186813,339,364,30168
22,94.50549483299255,0.7720296382904053,94.78021978021978,345,364,30168
23,93.95604133605957,0.7708694934844971,93.95604395604396,342,364,30168
24,93.95604133605957,0.7760907411575317,93.68131868131869,341,364,30168
25,95.05494236946106,0.7723708748817444,95.05494505494505,346,364,30168
