epoch,float_val_accuracy_percent,val_loss,int8_accuracy_percent,correct,total,model_size_bytes
1,95.8791196346283,0.4639205038547516,95.87912087912088,349,364,30168
2,95.8791196346283,0.48300325870513916,95.87912087912088,349,364,30168
3,96.15384340286255,0.4712764322757721,96.15384615384616,350,364,30168
4,95.60439586639404,0.48461148142814636,95.6043956043956,348,364,30168
5,96.15384340286255,0.47759297490119934,95.87912087912088,349,364,30168
6,95.8791196346283,0.47563230991363525,95.87912087912088,349,364,30168
7,96.15384340286255,0.4868417978286743,96.15384615384616,350,364,30168
8,96.15384340286255,0.481435626745224,96.15384615384616,350,364,30168
9,95.8791196346283,0.4884605407714844,95.87912087912088,349,364,30168
10,95.32967209815979,0.48420289158821106,95.32967032967034,347,364,30168
11,95.32967209815979,0.48556721210479736,95.05494505494505,346,364,30168
12,95.8791196346283,0.49296391010284424,95.87912087912088,349,364,30168
13,95.8791196346283,0.4858234226703644,95.87912087912088,349,364,30168
14,95.60439586639404,0.49053695797920227,95.6043956043956,348,364,30168
15,95.32967209815979,0.4834228754043579,95.05494505494505,346,364,30168
16,94.7802186012268,0.4802207052707672,94.78021978021978,345,364,30168
17,95.8791196346283,0.4894203245639801,95.87912087912088,349,364,30168
18,95.8791196346283,0.48026561737060547,95.87912087912088,349,364,30168
19,95.8791196346283,0.4824126958847046,96.15384615384616,350,364,30168
20,95.8791196346283,0.48939505219459534,96.15384615384616,350,364,30168
21,95.60439586639404,0.4921756088733673,95.32967032967034,347,364,30168
22,96.70329689979553,0.4858439862728119,96.42857142857143,351,364,30168
23,95.8791196346283,0.47889038920402527,95.87912087912088,349,364,30168
24,96.15384340286255,0.47831180691719055,96.15384615384616,350,364,30168
25,96.70329689979553,0.4806020259857178,96.7032967032967,352,364,30168
