metric,value
int8_correct,350
mean_conf_correct,0.9125446428571429
median_conf_correct,0.9609375
ece,0.05724158653846153
frac_correct_ge_090,0.7342857142857143
frac_wrong_ge_090,0.14285714285714285

cid,accuracy_percent,mean_confidence
0,100.0,0.9175701530612245
2,90.0,0.815234375
3,100.0,0.8555989583333333
4,100.0,0.877734375
5,100.0,0.8986979166666667
6,100.0,0.9375
7,100.0,0.908125
24,100.0,0.9894831730769231
43,100.0,0.8719308035714286
69,100.0,0.9779947916666667
70,100.0,0.9691051136363636
72,100.0,0.9528125
83,87.5,0.80078125
84,68.42105263157895,0.8030427631578947
85,100.0,0.9495081018518519
86,100.0,0.9522879464285714
87,83.33333333333333,0.856640625
