epoch,float_val_accuracy_percent,val_loss,int8_accuracy_percent,correct,total,model_size_bytes
1,94.2307710647583,0.5065369606018066,93.68131868131869,341,364,30256
2,95.32967209815979,0.49239516258239746,95.32967032967034,347,364,30256
3,95.32967209815979,0.4971109628677368,94.78021978021978,345,364,30256
4,94.2307710647583,0.5069542527198792,93.95604395604396,342,364,30256
5,94.50549483299255,0.5105013847351074,94.5054945054945,344,364,30256
6,94.50549483299255,0.5073413848876953,94.5054945054945,344,364,30256
7,94.50549483299255,0.509043276309967,94.5054945054945,344,364,30256
8,95.05494236946106,0.49752435088157654,95.32967032967034,347,364,30256
9,95.05494236946106,0.5097438097000122,95.32967032967034,347,364,30256
10,95.32967209815979,0.49801313877105713,95.32967032967034,347,364,30256
11,95.32967209815979,0.4942062199115753,95.6043956043956,348,364,30256
12,95.8791196346283,0.4979080259799957,95.87912087912088,349,364,30256
13,94.50549483299255,0.5074886083602905,94.5054945054945,344,364,30256
14,94.7802186012268,0.491362065076828,94.78021978021978,345,364,30256
15,95.32967209815979,0.49129539728164673,95.32967032967034,347,364,30256
16,95.8791196346283,0.49221885204315186,96.15384615384616,350,364,30256
17,95.05494236946106,0.501701831817627,95.05494505494505,346,364,30256
18,94.50549483299255,0.5195584893226624,94.78021978021978,345,364,30256
19,94.7802186012268,0.5012073516845703,94.78021978021978,345,364,30256
20,95.05494236946106,0.494951993227005,95.05494505494505,346,364,30256
21,95.32967209815979,0.4910135865211487,95.32967032967034,347,364,30256
22,95.32967209815979,0.4958368241786957,95.32967032967034,347,364,30256
23,95.32967209815979,0.4950132966041565,95.32967032967034,347,364,30256
24,95.05494236946106,0.5055075287818909,95.05494505494505,346,364,30256
25,94.7802186012268,0.5036981701850891,94.78021978021978,345,364,30256
